"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"6 093 résultats trouvés pour recycling AND plastic AND '3D printing'";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"123";"Recycling device for 3D printing ceramic powder old material";"LIU WEI 
YAN YONGJIE";"NANTONG SANZE PREC CERAMICS CO LTD 
JIANGSU SANZE NEW MATERIAL TECH CO LTD";"CN221872425U";"2024-03-05";"B28B1/00 
B33Y30/00 
B33Y40/20";"";"2024-10-22";"2024-10-22";"093105052";
"124";"Environment-friendly plastic material for 3D (Three-dimensional) printing";"QIN YANGHUA 
QIN YANGRONG";"GUANGXI ZHUMENGSANTI TECH CO LTD";"CN106519729A";"2016-11-11";"B33Y70/00 
C08K13/02 
C08K5/103 
C08K5/11 
C08K5/1515 
C08K5/54 
C08L101/00 
C08L3/02 
C08L33/00 
C08L33/04 
C08L91/00";"B33Y70/00 (CN) 
C08L101/00 (CN) 
C08L2205/02 (CN) 
C08L2205/035 (CN) 
C08L2205/08 (CN) 
C08L2207/20 (CN) 
C08L101/00, C08L3/02, C08L33/04, C08L33/00, C08L91/00, C08K13/02, C08K5/11, C08K5/103, C08K5/1515, C08K5/54, INV (CN)      ";"2017-03-22";"2017-03-22";"058351108";
"125";"3D printer with 3D printing material recycling device";"ZHANG FENG";"ZHANG FENG";"CN107443749A";"2017-09-21";"B02C23/16 
B02C7/06 
B29C64/35 
B33Y40/00";"B02C23/16 (CN) 
B02C7/06 (CN) 
B33Y40/00 (CN) 
B02C2023/165 (CN)";"2017-12-08";"2017-12-08";"060497120";
"126";"3D printing and plastic extrusion molding dual purpose machine";"LI XIN";"GUANGZHOU XIAOHE INFORMATION TECH CO LTD";"CN108162378A";"2017-12-22";"B29C47/08 
B29C64/106 
B29C64/20 
B29C64/245 
B33Y30/00";"B29C48/25 (CN) 
B29C48/252 (CN) 
B33Y30/00 (CN)";"2018-06-15";"2018-06-15";"062523368";
"127";"Printing consumable material and preparation method thereof";"ZHONG ZHENHONG";"GUANGXI FENGDA 3D TECH CO LTD";"CN107418240A";"2017-09-05";"B33Y70/00 
C08K13/06 
C08K3/04 
C08K3/32 
C08K5/12 
C08K5/134 
C08K9/00 
C08K9/04 
C08L101/00 
C08L3/04 
C08L67/04 
C08L93/04 
C08L97/02";"B33Y70/00 (CN) 
C08L97/02 (CN) 
C08K2003/324 (CN) 
C08K2201/014 (CN) 
C08L2205/035 (CN) 
C08L97/02, C08L67/04, C08L101/00, C08L3/04, C08L93/04, C08K13/06, C08K9/00, C08K9/04, C08K3/04, C08K3/32, C08K5/12, C08K5/1345, INV (CN)      ";"2017-12-01";"2017-12-01";"060435710";
"128";"Wood-plastic composite material for 3D printing and preparation method and application thereof";"LI WENSHENG 
YANG QI 
WU FENGYING 
LI XIANGZHOU 
FAN YINGZI 
WANG FEI 
ZHOU XIAOPING";"UNIV HUNAN";"CN112063032A 
CN112063032B";"2020-09-22";"B33Y70/10 
C08K5/101 
C08K5/134 
C08K5/20 
C08K5/526 
C08K7/06 
C08L23/06 
C08L23/08 
C08L23/12 
C08L29/04 
C08L51/06 
C08L51/08 
C08L53/02 
C08L67/04 
C08L69/00 
C08L97/00 
C08L97/02";"B33Y70/10 (CN) 
C08L23/06 (CN) 
C08L23/12 (CN) 
C08L67/04 (CN) 
C08L69/00 (CN) 
C08L2201/06 (CN) 
C08L2205/035 (CN) 
C08L2205/16 (CN) 
C08L23/06, C08L97/02, C08L51/06, C08L29/04, C08K5/1345, C08K5/20, INV (CN)       
C08L23/12, C08L97/02, C08L51/06, C08L97/005, C08K5/1345, C08K5/101, C08K7/06, INV (CN)       
C08L67/04, C08L97/005, C08L97/02, C08L51/08, C08L53/025, C08K5/526, INV (CN)       
C08L69/00, C08L29/04, C08L67/04, C08L97/005, C08L23/0884, INV (CN)      ";"2020-12-11 
2022-02-01";"2020-12-11";"073682288";
"129";"3D (Three Dimensional) printing machine with material recycling and planting cleaning device";"ZHANG LEI 
ZHONG YANJIU 
ZHENG YU 
LI JIE 
KAN HUANYING 
ZHENG CHENXING 
ZHAO XIKUN";"UNIV HEFEI TECHNOLOGY";"CN108312538A 
CN108312538B";"2018-02-05";"B33Y40/00 
B29C64/35 
B29C64/357 
B29C64/364 
B29C64/393 
B33Y50/02 
B33Y40/20";"B33Y40/00 (CN) 
B33Y50/02 (CN)";"2018-07-24 
2020-04-10";"2018-07-24";"062903334";
"130";"Desktop level injection molding method based on 3D printing";"SUN WENLONG 
DU ZHENPO 
XUN HAIFENG 
ZHU SHUO";"ZIBO ZHUMENG FACTORY THREE DIMENSIONAL TECH CO LTD";"CN108099091A";"2018-01-27";"B29B17/04 
B29C33/38 
B29C33/40 
B29C45/00 
B29C64/106 
B29C64/386 
B33Y10/00 
B33Y50/00";"B29B17/04 (CN) 
B29C33/3835 (CN) 
B29C33/3842 (CN) 
B29C33/40 (CN) 
B29C45/00 (CN) 
B33Y10/00 (CN) 
B33Y50/00 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2018-06-01";"2018-06-01";"062221321";
"131";"Method for producing fused deposition 3D printing wires by recycling polyester textiles";"JIANG SHOUXIANG 
HU LINGQUAN";"UNIV HONG KONG POLYTECHNIC";"CN116394485A";"2023-04-07";"B29B17/00 
B29B17/04 
B29C48/05 
B29C64/307 
B33Y40/00";"B29B17/0026 (CN) 
B29B17/0404 (CN) 
B29B17/0412 (CN) 
B29C48/05 (CN) 
B29C64/307 (CN) 
B33Y40/00 (CN) 
Y02W30/62 (EP)";"2023-07-07";"2023-07-07";"087017470";
"132";"Preparation method of novel 3D (Three-Dimensional) printing plastic material";"QIN YANGHUA";"NANNING MENGHUAN SANTI ENV PROT TECH CO LTD";"CN106497128A";"2016-11-11";"B33Y70/00 
C08K5/07 
C08L101/00 
C08L3/08 
C08L91/00";"B33Y70/00 (CN) 
C08L101/00 (CN) 
C08L2205/035 (CN) 
C08L2207/20 (CN) 
C08L101/00, C08L3/08, C08L91/00, C08K5/07, INV (CN)      ";"2017-03-15";"2017-03-15";"058324377";
"133";"Photosensitive resin cleaning device for 3D printing parts";"LI REN";"SHANDONG YIZHIJIANG 3D PRINTING CO LTD";"CN218366525U";"2022-09-09";"B29C64/35 
B33Y40/20";"Y02W30/62 (EP)";"2023-01-24";"2023-01-24";"084972741";
"134";"Powder removing and recycling device for 3D printing products";"XU JINTAO 
MAO LI 
LIU JIANYE";"SHANGHAI HANBANG LIANHANG LASER TECH CO LTD";"CN209664296U";"2019-01-15";"B22F3/105 
B33Y40/00";"";"2019-11-22";"2019-11-22";"068565650";
"135";"Multipurpose 3D printing consumable recycling device";"FU CAIMING 
LIANG LEI 
JIANG XIANZHENG";"XIANGTAN RUIBANG ELECTROMECHANICAL EQUIPMENT CO LTD";"CN218892235U";"2022-12-15";"B02C18/02 
B02C21/00 
B02C4/08 
B29C64/357 
B33Y40/00";"Y02W30/62 (EP)";"2023-04-21";"2023-04-21";"086000024";
"136";"Method for producing 3D printing wires by waste plastic";"FU ZUOQIANG 
CHEN CHUNHUA";"UNIV ANHUI SCI & TECHNOLOGY";"CN107936603A";"2017-12-13";"B33Y70/00 
C08K3/26 
C08K3/34 
C08K5/544 
C08L101/00 
C08L67/02";"B33Y70/00 (CN) 
C08L101/00 (CN) 
C08K2003/265 (CN) 
C08L101/00, C08L67/02, C08K3/34, C08K3/26, C08K5/544, INV (CN)      ";"2018-04-20";"2018-04-20";"061943946";
"137";"Waste plastic crushing device for 3D printing";"HUANG YAN";"SICHUAN SHANHAI IMPRESSION CULTURAL AND CREATIVE CO LTD";"CN215095680U";"2021-06-03";"B29B17/04 
B29C64/357 
B33Y40/00";"Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-12-10";"2021-12-10";"079303595";
"138";"3D printer capable of recycling printing powder";"JIN ZHIGANG 
YAN FENG 
LYU LEI";"HENAN SANWEI TAIKE ELECTRONIC TECH CO LTD";"CN213441191U";"2020-09-23";"B29C64/35 
B29C64/357 
B33Y40/00";"";"2021-06-15";"2021-06-15";"076327111";
"139";"3D printing consumable recycling device based on crystal material";"ZHONG YU 
CHEN CHANGLEI 
LI HAODONG";"HANGZHOU SCIENCE AND FIZHI TECH CO";"CN114347419A";"2022-01-10";"B29B17/00 
B29C48/05 
B29C48/28 
B29C48/285 
B29C64/357 
B33Y40/00";"Y02W30/62 (EP)";"2022-04-15";"2022-04-15";"081109689";
"140";"Spherical powder material for 3D printing and preparation method of spherical powder material";"ZHANG YUHONG 
ZHAN ENQI 
HE PEIXIN 
WANG YANGGONG 
DAI GANG 
LIU DONGLIN 
FU HUA";"WUHAN FENRUIDE 3D CONSUMABLES CO LTD";"CN108359245A 
CN108359245B";"2018-02-07";"B33Y70/00 
C08L23/06 
C08L23/12 
C08L25/06 
C08L55/02 
C08L67/04 
C08L69/00 
C08L77/00 
C08L83/04 
C08L83/08";"B33Y70/00 (CN) 
C08L83/04 (CN) 
C08L83/08 (CN) 
C08L2205/025 (CN) 
C08L2205/03 (CN) 
C08L2207/066 (CN) 
C08L83/04, C08L23/12, C08L83/04%2, INV (CN)       
C08L83/04, C08L55/02, C08L83/04%2, INV (CN)       
C08L83/04, C08L67/04, C08L69/00, C08L77/00, INV (CN)       
C08L83/08, C08L23/06, INV (CN)       
C08L83/08, C08L25/06, C08L83/04, INV (CN)      ";"2018-08-03 
2021-06-11";"2018-08-03";"063004772";
"141";"Plastic consumable recycling device and 3D printer";"WANG XIN 
LIU HAIXIN 
LUO CHI 
ZHANG HAO 
GAO YU 
MENG QINGLEI 
WANG DONGHAO 
FAN JIYI 
HAN WEIBO 
CAO LEI 
ZHOU HANG 
LIU YULONG 
BIAN XIN 
WANG YIDAN";"FAW JIEFANG AUTOMOTIVE CO";"CN117428968A";"2023-12-12";"B29B13/02 
B29B17/00 
B29B17/04 
B65H54/54 
B65H57/14";"B29B13/02 (CN) 
B29B17/00 (CN) 
B29B17/04 (CN) 
B65H54/54 (CN) 
B65H57/14 (CN) 
B29B2017/044 (CN) 
B65H2701/3913 (CN) 
Y02W30/62 (EP)";"2024-01-23";"2024-01-23";"089546375";
"142";"Preparation method for plastic material used for 3D printing";"QIN YANGHUA 
HUANG LIJIE";"NANNING MENGHUAN SANTI ENV PROT TECH CO LTD";"CN106566272A";"2016-11-11";"B33Y70/00 
C08B31/00 
C08K13/02 
C08K5/11 
C08K5/1535 
C08L101/00 
C08L3/04";"B33Y70/00 (CN) 
C08B31/003 (CN) 
C08L101/00 (CN) 
C08L101/00, C08L3/04, C08K13/02, C08K5/11, C08K5/1535, INV (CN)      ";"2017-04-19";"2017-04-19";"058541456";
"143";"Feeding device for sand mold 3D printing materials";"YANG YONGHUI 
CHEN BAOFENG 
YE SHULIANG 
ZHANG HUANXIANG";"LUOYANG EASY 3D PRINTING TECH CO LTD";"CN217727056U";"2022-06-29";"B22C5/04 
B22C5/06 
B22C9/02 
B33Y30/00 
B33Y40/00";"";"2022-11-04";"2022-11-04";"083844277";
"144";"Thermoplastic polymer 3D printing feeding equipment";"ZHAN YUN 
WANG LIJUN 
QIANG YIWEI 
KANG ZHU";"SUZHOU HENGCHI DIGITAL PRINTING CO LTD";"CN222645363U";"2024-03-29";"B01D29/03 
B29C64/321 
B29C64/35 
B33Y40/00";"";"2025-03-21";"2025-03-21";"095003452";
"145";"Sand table 3D printing material";"HUANG BO";"GUANGZHOU SHIBAI QIAN MODEL TECH CO LTD";"CN109987877A";"2017-12-29";"C04B26/04 
C04B26/28";"B33Y70/00 (CN) 
C04B26/04 (CN) 
C04B26/285 (CN) 
C04B26/04, C04B18/04, C04B18/248, C04B2103/12, INV (CN)       
C04B26/285, C04B18/04, C04B18/26, C04B14/386, C04B2103/12, INV (CN)       
C04B26/285, C04B18/04, C04B18/26, C04B24/2623, C04B2103/12, INV (CN)      ";"2019-07-09";"2019-07-09";"067109076";
"146";"DISPOSITIF ET PROCÉDÉ DE RECYCLAGE DE MATIÈRES PLASTIQUES";"PALTENGHI FRÉDÉRIC [CH]";"HAUTE ECOLE DINGENIERIE ET DE GESTION DU CANTON DE VAUD HEIG VD [CH]";"EP3479992A1";"2017-11-01";"B29B13/02 
B29B17/00";"B29B13/022 (EP,US) 
B29B17/0042 (EP) 
B29B7/60 (EP) 
B29B7/826 (EP) 
B29C48/05 (EP) 
B29C48/277 (EP) 
B29C48/287 (EP) 
B29C48/29 (EP) 
B29C64/314 (EP) 
B33Y70/00 (EP,US) 
B29C64/118 (EP) 
B29L2031/7129 (EP) 
B29L2031/7158 (EP) 
Y02P70/10 (EP) 
Y02W30/62 (EP)";"2019-05-08";"2019-05-08";"060244910";
"147";"IDENTIFICATION MARKER ON A 3D PRINTED COMPONENT";"LYMPEROPOULOS IOANNIS [CH] 
CORTINOVIS ANDREA [CH] 
MARANÒ STEFANO [CH] 
JACIMOVIC JACIM [CH] 
CAPON ELISABET [CH]";"ABB SCHWEIZ AG [CH]";"US2023256514A1";"2020-07-09";"B22F10/39 
B22F10/40 
B22F12/90 
B33Y40/20 
B33Y50/02";"B22F10/39 (EP,US) 
B22F10/40 (EP,US) 
B22F10/66 (EP) 
B22F12/90 (US) 
B29C64/188 (EP) 
B29C64/30 (EP) 
B29C64/40 (EP) 
B33Y40/20 (EP,US) 
B33Y50/02 (US) 
G05B19/4099 (EP) 
B22F10/43 (EP) 
B22F2003/1042 (EP) 
B22F2998/00 (EP) 
B22F2998/10 (EP) 
B22F2999/00 (EP) 
G05B2219/32189 (EP) 
G05B2219/37205 (EP) 
G05B2219/49302 (EP) 
Y02P10/25 (EP) 
Y02P90/02 (EP) 
B22F2998/00, B22F10/10, B22F10/20, ADD (EP)       
B22F2998/10, B22F10/00, B22F10/00%2, B22F2003/247, ADD (EP)       
B22F2998/10, B22F2003/1042, B22F10/00, B22F2003/247, ADD (EP)       
B22F2999/00, B22F10/39, B22F10/40, B22F10/66, ADD (EP)       
B22F2999/00, B22F10/66, B22F2003/247, B22F10/40, ADD (EP)      ";"2023-08-17";"2022-01-12";"071575027";
"148";"Novel bamboo-plastic composite 3D printing material and manufacture method thereof";"SHOU GUOZHONG 
WU QIANG 
LIU XIAOSHUAI 
ZHAO DAXU 
WANG PEIXIN";"UNIV ZHEJIANG A&F 
HANGZHOU SYSTEM MICROELECTRONICS TECH CO LTD";"CN106467675A";"2016-09-27";"C08K5/053 
C08K5/09 
C08K5/12 
C08L101/00 
C08L35/06 
C08L71/02 
C08L91/00 
C08L97/02";"C08L101/00 (CN) 
C08L2201/02 (CN) 
C08L2201/06 (CN) 
C08L2205/03 (CN) 
C08L2205/035 (CN) 
C08L101/00, C08L97/02, C08L71/02, C08L35/06, C08L91/00, C08K5/09, C08K5/053, C08K5/12, INV (CN)      ";"2017-03-01";"2017-03-01";"058230736";
"149";"Waste alcohol recovery device for 3D printing";"LIU HUILIN 
TANG JINGKE 
CHEN CHUN 
AO DANJUN 
XIE WEIWEI 
CHENG MINQIANG 
ZHANG XIAOMING";"SHENZHEN CREALITY 3D TECH CO LTD";"CN214344525U";"2020-11-30";"B01D1/00 
B01D1/30 
B01D5/00";"";"2021-10-08";"2021-10-08";"077981087";
"150";"SLS powder sintering and recycling device of 3D printer";"ZHANG LEI 
WANG QI 
ZHANG YU 
LI BOJUN";"GUFENG DONGGUAN 3D TECH CO LTD";"CN220332007U";"2023-07-27";"B29C64/214 
B29C64/218 
B29C64/357 
B33Y30/00 
B33Y40/00";"";"2024-01-12";"2024-01-12";"089456884";
"151";"Slurry circulation and recycling device for oblique circular screen printing";"WANG YIFENG 
XIANG JINGGUO 
SUN XU'AN";"ZHEJIANG FURUN DYEING & PRINTING CO LTD";"CN110001198A";"2019-03-29";"B41F15/42 
B41F31/20";"B41F15/42 (CN) 
B41F31/20 (CN)";"2019-07-12";"2019-07-12";"067168844";
"152";"Metal powder cleaning and recycling device for 3D printing";"";"FANCHANG ZHONGYUN MACHINERY MFG CO LTD";"CN108817390A 
CN108817390B";"2018-07-28";"B22F3/105 
B33Y30/00";"B22F10/00 (CN) 
B22F10/28 (EP,CN,US) 
B22F10/68 (EP,CN,US) 
B22F10/73 (EP,CN,US) 
B22F12/52 (EP,CN,US) 
B22F12/63 (EP,CN,US) 
B22F3/003 (CN) 
B33Y30/00 (CN) 
B22F12/226 (EP,CN,US) 
B22F12/37 (EP,CN,US) 
Y02P10/25 (EP)";"2018-11-16 
2020-10-30";"2018-11-16";"064153111";
"153";"RECYCLING METHODS AND SYSTEMS, AND RELATED PLASTIC CONTAINERS";"SHARMA RAVI K [US] 
FILLER TOMAS [US] 
HOLUB VOJTECH [US] 
ALATTAR OSAMA M [US] 
BRUNK HUGH L [US] 
LORD JOHN D [US] 
CONWELL WILLIAM Y [US]";"DIGIMARC CORP [US]";"US11962875B2 
US2021352192A1";"2014-01-31";"H04N5/225 
G06F21/16 
G09C5/00 
H04N21/2389 
H04N21/44 
H04N21/8358 
H04N23/00";"B42D25/324 (EP) 
B42D25/333 (EP) 
G06F21/16 (US) 
G09C5/00 (US) 
H04N21/23892 (US) 
H04N21/44008 (US) 
H04N21/8358 (US) 
H04L2209/34 (US) 
H04L2209/608 (US)";"2021-11-11 
2024-04-16";"2019-10-03";"068057400";
"154";"Automatic photosensitive resin cleaning device for 3D printing parts";"LI REN";"SHANDONG YIZHIJIANG 3D PRINTING CO LTD";"CN218366526U";"2022-09-09";"B29C64/35 
B33Y40/20";"";"2023-01-24";"2023-01-24";"084974076";
"155";"Device for manufacturing 3D printing consumables by using plastic bottles";"DENG JUNBI 
ZHANG YU 
DING YING 
LI DING 
LI TAIQUAN 
JIN HAO";"UNIV KUNMING SCIENCE & TECHNOLOGY";"CN220349099U";"2023-05-07";"B29C67/00";"Y02W30/62 (EP)";"2024-01-16";"2024-01-16";"089503667";
"156";"Photocuring 3D printing equipment";"PENG CHONG 
XIE YUNYUN 
TANG ZHENGQIAN 
YANG CHEN 
XIA CHUNGUANG";"SHENZHEN BMF MATERIAL TECH INC";"CN222571613U";"2024-03-14";"B29C64/35 
B33Y40/00";"";"2025-03-07";"2025-03-07";"094791259";
"157";"A device for recycling synthetic plastics, especially polyethylene terephthalate and high density polyethylene";"NOVÁKOVÁ KATEŘINA [CZ] 
PROKOP ŠIMON [CZ] 
PROKEŠ JAN [CZ] 
BEER NATHAN [AU]";"PETMAT Z U [CZ]";"CZ2017214A3 
CZ308697B6";"2017-04-20";"B29B17/00 
B29B17/04 
B29C48/00 
B29C48/025 
C08J11/06 
B29C49/00";"B29B17/00 (CZ) 
B29B17/04 (CZ) 
B29C49/00 (CZ) 
C08J11/06 (CZ) 
Y02W30/62 (EP)";"2018-10-31 
2021-03-03";"2018-10-31";"074682726";
"158";"3D printing waste recovery device";"HE YAN 
CHU DIANMING 
TANG KUANXIN 
BAI WENJUAN";"UNIV QINGDAO SCIENCE & TECHNOLOGY";"CN212472443U";"2020-05-18";"B29B9/06 
B29C64/357 
B33Y40/20";"";"2021-02-05";"2021-02-05";"074461097";
"159";"Classified recovery device for 3D printing waste";"YU FENGBIN";"XUZHOU QICHUANG MFG CO LTD";"CN117103690A";"2023-10-07";"B01D53/04 
B29B13/02 
B29B13/10 
B29B17/00 
B29B17/04 
B29C64/357 
B33Y40/00 
F16F15/067";"B01D53/04 (CN) 
B29B13/022 (CN) 
B29B13/10 (CN) 
B29B17/0026 (CN) 
B29B17/04 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
F16F15/067 (CN) 
B29B2017/044 (CN) 
B29B2017/0488 (CN)";"2023-11-24";"2023-11-24";"088812972";
"160";"Method for preparing recycled regenerated plastic for 3D printing";"HUANG BAOHUI";"QUANZHOU LONGSHENG LIGHT IND CO LTD";"CN110698806A";"2019-09-12";"C08J9/10 
C08K13/06 
C08K3/30 
C08K5/098 
C08K5/20 
C08K7/14 
C08K7/24 
C08K9/04 
C08K9/06 
C08L23/12 
C08L51/06 
C08L55/02 
C08L67/02";"C08J9/103 (CN) 
C08J2203/04 (CN) 
C08J2323/12 (CN) 
C08J2355/02 (CN) 
C08J2367/02 (CN) 
C08J2423/12 (CN) 
C08J2455/02 (CN) 
C08J2467/02 (CN) 
C08K13/06 (CN) 
C08K2003/3009 (CN) 
C08K5/098 (CN) 
C08K5/20 (CN) 
C08K7/14 (CN) 
C08K7/24 (CN) 
C08K9/04 (CN) 
C08K9/06 (CN)";"2020-01-17";"2020-01-17";"069195123";
"161";"Preparation method of wood-plastic composite material surface decoration based on UV-ink-jet 3D printing";"FENG XINHAO 
WU ZHIHUI 
WU YAN";"UNIV NANJING FORESTRY";"CN112045995A";"2020-08-21";"B29C64/135 
B29C64/393 
B33Y10/00 
B33Y50/02";"B29C64/135 (CN) 
B29C64/393 (CN) 
B33Y10/00 (CN) 
B33Y50/02 (CN)";"2020-12-08";"2020-12-08";"073600716";
"162";"Preparation method of waste aluminum-plastic-based 3D printing photocatalytic device";"XUE HUI 
MAO JINGYUN 
XIA XINSHU 
QIAN QINGRONG 
ZHENG YINGLIAN 
HUANG BAOQUAN 
LUO YONGJIN 
ZENG LINGXING";"UNIV FUJIAN";"CN111825871A 
CN111825871B";"2020-06-18";"B01J21/06 
B01J23/06 
B01J27/06 
B01J27/24 
B01J31/06 
B01J31/26 
B01J31/38 
C01B13/02 
C01B3/04 
C02F1/30 
C08J7/06 
C08L23/06 
C08L23/12 
C08L67/02 
C09K17/40";"B01J21/063 (CN) 
B01J23/06 (CN) 
B01J27/06 (CN) 
B01J27/24 (CN) 
B01J31/06 (CN) 
B01J31/26 (CN) 
B01J31/38 (CN) 
C01B13/0207 (CN) 
C01B3/042 (CN) 
C02F1/30 (CN) 
C08J7/06 (CN) 
C09K17/40 (CN) 
C01B2203/0277 (CN) 
C02F2101/36 (CN) 
C02F2305/10 (CN) 
C08J2323/06 (CN) 
C08J2323/12 (CN) 
C08J2367/02 (CN) 
Y02E60/36 (EP) 
Y02P20/52 (EP)";"2020-10-27 
2022-05-24";"2020-10-27";"072897812";
"163";"Metal powder recycling device for metal 3D printing";"PU XIONGYING 
WANG MENGCHEN 
SUN NING";"SHENYANG INST TECHNOLOGY";"CN214768947U";"2021-06-02";"B22F10/73 
B22F12/00 
B33Y30/00 
B33Y40/00";"";"2021-11-19";"2021-11-19";"078700033";
"164";"PROCÉDÉ DE PRODUCTION DE BÉTON HUMIDE APPLICABLE À L'IMPRESSION 3D ET UTILISATION DE BÉTON HUMIDE POUR L'IMPRESSION 3D DE COMPOSANTS EN BÉTON UTILISÉS DANS LE BTP OU POUR L'IMPRESSION 3D DE PIÈCES EN BÉTON POUR UN BÂTIMENT";"SOLLO TIMO [FI] 
TOLONEN-SALO REETTA-MARIA [FI]";"TRIFAMI 3D OY [FI]";"WO2024056943A1";"2022-09-16";"B02C21/02 
B03B9/06 
B09B3/25 
B33Y70/00 
C04B18/16 
C04B28/02";"B03B9/065 (EP) 
B09B3/27 (EP,FI) 
B28D1/181 (FI) 
B28D1/225 (FI) 
C04B18/16 (EP,FI) 
C04B28/02 (EP) 
B09B2101/45 (EP) 
C04B2111/00017 (EP) 
C04B2111/00181 (EP) 
Y02W30/52 (FI) 
Y02W30/91 (FI) 
C04B18/16, C04B20/02, C04B20/026, INV (EP)       
C04B28/02, C04B14/06, C04B18/16, C04B20/0076, C04B40/0028, C04B40/0032, INV (EP)      ";"2024-03-21";"2024-03-17";"088689888";
"165";"3D printing waste recovery device";"ZHOU ZHONGYU 
WANG MIN 
MA CUIXIA";"QUANZHOU KEMAOLITONG INTELLIGENT TECH CO LTD";"CN210940485U";"2019-11-05";"B29C64/357 
B33Y40/00";"";"2020-07-07";"2020-07-07";"071378133";
"166";"3D AI 3D PRINTING SYSTEM FOR RECYCLED MATERIALS";"BAE YOUNG SIK [KR]";"WHOBORN INC [KR]";"KR20240063778A";"2022-10-31";"B29B17/02 
B29C64/314 
B29C64/321 
B29C64/393 
B33Y40/00 
B33Y50/02 
B33Y70/00 
G06N3/08 
G06Q50/04 
H04N7/18 
H04W88/02";"B29B17/02 (KR) 
B29C64/314 (KR) 
B29C64/321 (KR) 
B29C64/393 (KR) 
B33Y40/00 (KR) 
B33Y50/02 (KR) 
B33Y70/00 (KR) 
G06N3/08 (KR) 
G06Q50/04 (KR) 
H04N7/18 (KR) 
H04W88/02 (KR) 
Y02W30/20 (KR) 
Y02W30/62 (KR)";"2024-05-10";"2024-05-10";"091072245";
"167";"Recycled powder recycling device for 3D printer and powder recycling method thereof";"ZHANG JUELING 
YANG HAIXI 
LIU BO 
XU HANXING 
QIE XIAOJING";"HEBEI JINGYE ADDITIVE MANUFACTURING TECH CO LTD";"CN113619118A";"2021-07-27";"B02C19/16 
B02C4/08 
B02C4/28 
B02C4/40 
B29C64/35 
B29C64/357 
B33Y40/00";"B02C19/16 (CN) 
B02C4/08 (CN) 
B02C4/28 (CN) 
B02C4/40 (CN) 
B29C64/35 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN)";"2021-11-09";"2021-11-09";"078381214";
"168";"Recycled regenerated plastic for 3D printing and preparation method of recycled regenerated plastic";"HUANG BAOHUI";"QUANZHOU LONGSHENG LIGHT IND CO LTD";"CN110698807A";"2019-09-12";"C08J9/10 
C08K13/06 
C08K3/22 
C08K3/30 
C08K3/34 
C08K7/14 
C08K7/24 
C08L23/08 
C08L23/12 
C08L35/06 
C08L51/06 
C08L55/02 
C08L67/02";"C08J9/0061 (CN) 
C08J9/0066 (CN) 
C08J9/0085 (CN) 
C08J9/009 (CN) 
C08J9/0095 (CN) 
C08J9/103 (CN) 
C08J2203/04 (CN) 
C08J2323/12 (CN) 
C08J2355/02 (CN) 
C08J2367/02 (CN) 
C08J2423/08 (CN) 
C08J2423/12 (CN) 
C08J2451/06 (CN) 
C08J2455/02 (CN) 
C08J2467/02 (CN)";"2020-01-17";"2020-01-17";"069194740";
"169";"Energy-saving 3D printing equipment";"CAO YANHONG";"SHENZHEN ANSIKE ELECTRONIC TECH CO LTD";"CN106738882A 
CN106738882B";"2017-01-04";"B29C64/118 
B29C64/209 
B29C64/336 
B33Y30/00";"B33Y30/00 (CN)";"2017-05-31 
2019-07-16";"2017-05-31";"058949630";
"170";"Raw material drying device for 3D printing plastic part production";"HU JIAOLI 
WU XIAOQUAN 
ZHANG LEI 
DING FAN 
HUANG XIN 
HU JUNCHAO 
CHEN XINYAO";"GUANGDONG KAIBEN 3D TECH CO LTD";"CN222662682U";"2024-03-05";"B29B13/06 
B29C64/314 
B33Y40/10";"";"2025-03-25";"2025-03-25";"095047590";
"171";"Consumable impurity removing device for 3D printing";"YANG MING 
LI ZHIQIN 
YANG FANG";"FOSHAN MILI 3D TECH CO LTD";"CN212597117U";"2020-05-25";"B07B13/11 
B07B13/14 
B07B7/06";"";"2021-02-26";"2021-02-26";"074752061";
"172";"3D Recycling 3 Dimensional Printer Using Waste Plastic";"CHOI HO KYU";"HWAAM CO LTD [KR]";"KR102290995B1";"2020-11-20";"B09B3/00 
B29B17/04 
B29B9/02 
B33Y40/00";"B09B3/00 (KR) 
B29B17/0412 (KR) 
B29B9/02 (KR) 
B29C64/314 (KR) 
B33Y40/00 (KR) 
B29B2017/0468 (KR) 
Y02W30/20 (KR) 
Y02W30/52 (EP) 
Y02W30/62 (EP,KR) 
Y02W30/82 (EP)";"2021-08-19";"2021-08-19";"077492322";
